airline,total_incidents,total_fatalities,years_active,fatal_events,avg_damage,last_incident,recency_factor,incident_rate,fatality_rate,fatal_ratio,weighted_rate,norm_weighted_rate,norm_fatality_rate,norm_fatal_ratio,norm_avg_damage,penalty,safety_score,risk_label
Mile Hi Aviation,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Southwest Aviation,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Hagers Flying Service,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Harlingen Aero Center,2,0,2,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Bauer Helicopters,2,0,2,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Signco Transportation Inc,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Capital Air Service,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Air Crops Inc,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Hiegel Aviation,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Sand Point Air Service Inc,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
